iteration,timestamp,P79,T41,V41F,J21,V41,T42,V42F,J19,V42,J2,P1F,V_UF,P1
63.0,2025-02-03 17:54:01.576681,0.0,6.5926408767700195,66.14460754394531,58.11605453491211,1.0,6.570595741271973,60.69035720825195,57.8006706237793,1.0,67.4854736328125,303.72491455078125,189.45460510253906,1.0
64.0,2025-02-03 17:54:06.892068,0.0,6.662866115570068,65.56722259521484,58.18207931518555,1.0,6.6353607177734375,60.46915054321289,57.86567306518555,1.0,67.50062561035156,302.92633056640625,188.89947509765625,1.0
65.0,2025-02-03 17:54:11.894292,0.0,6.732484340667725,65.00044250488281,58.24760818481445,1.0,6.699881076812744,60.24083709716797,57.93043899536133,1.0,67.51570892333984,302.1312561035156,188.34759521484375,1.0
66.0,2025-02-03 17:54:16.819312,0.0,6.801506042480469,64.44383239746094,58.312644958496094,1.0,6.764150142669678,60.00586700439453,57.994956970214844,1.0,67.53073120117188,301.3396911621094,187.79893493652344,1.0
67.0,2025-02-03 17:54:22.065312,0.0,6.869942665100098,63.89698028564453,58.37720489501953,1.0,6.828160285949707,59.764644622802734,58.059226989746094,1.0,67.5456771850586,300.5516052246094,187.2534637451172,1.0
68.0,2025-02-03 17:54:27.148069,0.0,6.937803268432617,63.3594970703125,58.441280364990234,1.0,6.891906261444092,59.51757049560547,58.123233795166016,1.0,67.56056213378906,299.76702880859375,186.7111358642578,1.0
69.0,2025-02-03 17:54:32.497484,0.0,7.00509786605835,62.831016540527344,58.50489044189453,1.0,6.955381393432617,59.264984130859375,58.186981201171875,1.0,67.57538604736328,298.9859924316406,186.17193603515625,1.0
70.0,2025-02-03 17:54:37.580368,0.0,6.905200481414795,-93.271240234375,57.734561920166016,1.0,6.865821838378906,-83.61891174316406,58.250240325927734,1.0,57.67754364013672,0.0,-11.801782608032227,0.0
71.0,2025-02-03 17:54:42.674889,0.0,6.805617809295654,-92.97730255126953,57.63795852661133,1.0,6.7759480476379395,-83.912841796875,58.16067886352539,1.0,57.58205032348633,0.0,-11.676531791687012,0.0
72.0,2025-02-03 17:54:47.826040,0.0,6.706330299377441,-92.70201873779297,57.54145812988281,1.0,6.685779094696045,-84.18811798095703,58.070804595947266,1.0,57.486576080322266,0.0,-11.559118270874023,0.0
73.0,2025-02-03 17:54:53.099326,0.0,6.6023268699646,-97.10514068603516,57.391990661621094,1.0,6.590663433074951,-88.80646514892578,57.980621337890625,1.0,57.333072662353516,0.0,-12.010021209716797,0.0
74.0,2025-02-03 17:54:57.968081,0.0,6.498580455780029,-96.8648910522461,57.290775299072266,1.0,6.495290756225586,-89.04670715332031,57.88550567626953,1.0,57.23278045654297,0.0,-11.907401084899902,0.0
75.0,2025-02-03 17:55:02.819095,0.0,6.395075798034668,-96.63904571533203,57.18964385986328,1.0,6.399676322937012,-89.27254486083984,57.790130615234375,1.0,57.13251495361328,0.0,-11.810892105102539,0.0
76.0,2025-02-03 17:55:08.054462,0.0,6.291799068450928,-96.42667388916016,57.08859634399414,1.0,6.303834438323975,-89.48491668701172,57.694515228271484,1.0,57.03227233886719,0.0,-11.720087051391602,0.0
77.0,2025-02-03 17:55:13.510193,0.0,6.1887359619140625,-96.22693634033203,56.98762512207031,1.0,6.207778453826904,-89.68465423583984,57.59867477416992,1.0,56.93205261230469,0.0,-11.634642601013184,0.0
78.0,2025-02-03 17:55:18.560233,0.0,6.085874080657959,-96.03900909423828,56.88672637939453,1.0,6.111521244049072,-89.87257385253906,57.50261688232422,1.0,56.83185958862305,0.0,-11.554213523864746,0.0
79.0,2025-02-03 17:55:23.710720,0.0,5.98320198059082,-95.8621826171875,56.7859001159668,1.0,6.015074729919434,-90.04939270019531,57.4063606262207,1.0,56.731693267822266,0.0,-11.478501319885254,0.0
80.0,2025-02-03 17:55:28.734142,0.0,6.054342269897461,66.42183685302734,57.57978439331055,1.0,6.077991008758545,58.74345779418945,57.31014633178711,1.0,67.34598541259766,311.07672119140625,193.74288940429688,1.0
81.0,2025-02-03 17:55:33.827279,0.0,6.1248087882995605,65.79254913330078,57.64565658569336,1.0,6.140748500823975,58.59452819824219,57.37306594848633,1.0,67.36075592041016,310.2984924316406,193.19607543945312,1.0
82.0,2025-02-03 17:55:38.876621,0.0,6.194616794586182,65.1776351928711,57.71101379394531,1.0,6.203334331512451,58.4345817565918,57.435821533203125,1.0,67.37545776367188,309.5236511230469,192.65269470214844,1.0
83.0,2025-02-03 17:55:44.417521,0.0,6.2637810707092285,64.5763931274414,57.7758674621582,1.0,6.265737533569336,58.26436996459961,57.49840545654297,1.0,67.39009094238281,308.752197265625,192.11270141601562,1.0
84.0,2025-02-03 17:55:50.160216,0.0,6.332314968109131,63.98813247680664,57.8402214050293,1.0,6.327948570251465,58.08454895019531,57.56081008911133,1.0,67.4046630859375,307.9841003417969,191.57606506347656,1.0
85.0,2025-02-03 17:55:55.460158,0.0,6.357990741729736,23.972654342651367,57.67299270629883,1.0,6.3557963371276855,26.00066375732422,57.62296676635742,1.0,67.20075988769531,318.7314453125,191.2307891845703,1.0
86.0,2025-02-03 17:56:00.697029,0.0,6.383594036102295,23.905296325683594,57.69843292236328,1.0,6.38337516784668,25.749553680419922,57.650814056396484,1.0,67.20679473876953,318.4129943847656,191.02020263671875,1.0
87.0,2025-02-03 17:56:06.093451,0.0,6.409117698669434,23.830570220947266,57.72377395629883,1.0,6.410694599151611,25.5074462890625,57.67839050292969,1.0,67.21280670166016,318.0961608886719,190.8101806640625,1.0
88.0,2025-02-03 17:56:11.111964,0.0,6.434553623199463,23.74909210205078,57.7490119934082,1.0,6.4377641677856445,25.27372169494629,57.705711364746094,1.0,67.21878814697266,317.78094482421875,190.60076904296875,1.0
89.0,2025-02-03 17:56:16.311625,0.0,6.459896087646484,23.66145133972168,57.77414321899414,1.0,6.464591026306152,25.047801971435547,57.73278045654297,1.0,67.22473907470703,317.4674072265625,190.3920440673828,1.0
90.0,2025-02-03 17:56:21.248368,0.0,6.485138893127441,23.568212509155273,57.79916000366211,1.0,6.491184234619141,24.829139709472656,57.759605407714844,1.0,67.23065948486328,317.1554870605469,190.18402099609375,1.0
91.0,2025-02-03 17:56:26.317430,0.0,6.510275840759277,23.46989631652832,57.824058532714844,1.0,6.517550468444824,24.61720085144043,57.786197662353516,1.0,67.23654174804688,316.8452453613281,189.9767608642578,1.0
92.0,2025-02-03 17:56:31.455305,0.0,6.535303115844727,23.36699676513672,57.84884262084961,1.0,6.54369592666626,24.411508560180664,57.812564849853516,1.0,67.24240112304688,316.5366516113281,189.77029418945312,1.0
93.0,2025-02-03 17:56:36.203082,0.0,6.560215473175049,23.259990692138672,57.87350082397461,1.0,6.56962776184082,24.211591720581055,57.83871078491211,1.0,67.24822235107422,316.2297058105469,189.5646514892578,1.0
94.0,2025-02-03 17:56:41.118674,0.0,6.5850090980529785,23.149295806884766,57.898033142089844,1.0,6.595350742340088,24.01702117919922,57.86464309692383,1.0,67.25401306152344,315.9244689941406,189.35986328125,1.0
95.0,2025-02-03 17:56:45.909349,0.0,6.609681129455566,23.03532600402832,57.92243576049805,1.0,6.620871067047119,23.827390670776367,57.89036560058594,1.0,67.25977325439453,315.6208801269531,189.15597534179688,1.0
96.0,2025-02-03 17:56:50.800755,0.0,6.634227752685547,22.918453216552734,57.94670867919922,1.0,6.646193027496338,23.642337799072266,57.91588592529297,1.0,67.2655029296875,315.3189392089844,188.95298767089844,1.0
97.0,2025-02-03 17:56:55.682357,0.0,6.657106399536133,21.361404418945312,57.966121673583984,1.0,6.670094966888428,22.316905975341797,57.94120407104492,1.0,67.26404571533203,315.3956298828125,188.72616577148438,1.0
98.0,2025-02-03 17:57:00.766180,0.0,6.679886341094971,21.268661499023438,57.988704681396484,1.0,6.6937947273254395,22.12761878967285,57.96510696411133,1.0,67.26939392089844,315.11358642578125,188.53712463378906,1.0
99.0,2025-02-03 17:57:05.968102,0.0,6.702561855316162,21.1715030670166,58.01117706298828,1.0,6.7172980308532715,21.944292068481445,57.988807678222656,1.0,67.27471923828125,314.8331298828125,188.34886169433594,1.0
100.0,2025-02-03 17:57:10.656080,0.0,6.725129127502441,21.070446014404297,58.033531188964844,1.0,6.740610599517822,21.766416549682617,58.01231002807617,1.0,67.28001403808594,314.5541687011719,188.16139221191406,1.0
101.0,2025-02-03 17:57:15.652630,0.0,6.747584342956543,20.965953826904297,58.05576705932617,1.0,6.76373815536499,21.593528747558594,58.035621643066406,1.0,67.28527069091797,314.27679443359375,187.9747314453125,1.0
102.0,2025-02-03 17:57:20.866373,0.0,6.769924640655518,20.858463287353516,58.077884674072266,1.0,6.786685466766357,21.42519187927246,58.05875015258789,1.0,67.2905044555664,314.0009765625,187.78897094726562,1.0
103.0,2025-02-03 17:57:26.261265,0.0,6.792147159576416,20.74835968017578,58.099884033203125,1.0,6.809456825256348,21.261022567749023,58.081695556640625,1.0,67.29570770263672,313.7267150878906,187.60403442382812,1.0
104.0,2025-02-03 17:57:31.438203,0.0,6.814249038696289,20.636011123657227,58.12175369262695,1.0,6.832056522369385,21.100650787353516,58.104469299316406,1.0,67.30088806152344,313.4539794921875,187.42002868652344,1.0
105.0,2025-02-03 17:57:36.511263,0.0,6.836228847503662,20.52173614501953,58.14350128173828,1.0,6.854488372802734,20.943748474121094,58.12706756591797,1.0,67.3060302734375,313.18280029296875,187.23690795898438,1.0
106.0,2025-02-03 17:57:41.594113,0.0,6.858084201812744,20.40582275390625,58.16512680053711,1.0,6.876755237579346,20.79002571105957,58.149497985839844,1.0,67.31114196777344,312.9131774902344,187.05471801757812,1.0
107.0,2025-02-03 17:57:46.732807,0.0,6.879814147949219,20.288545608520508,58.18661880493164,1.0,6.898860931396484,20.639209747314453,58.1717643737793,1.0,67.31623077392578,312.64508056640625,186.87347412109375,1.0
108.0,2025-02-03 17:57:51.709252,0.0,6.901417255401611,20.170135498046875,58.20798873901367,1.0,6.920807361602783,20.491058349609375,58.193870544433594,1.0,67.3212890625,312.3785095214844,186.69314575195312,1.0
109.0,2025-02-03 17:57:56.759504,0.0,6.9573750495910645,52.24616622924805,58.3897590637207,1.0,6.9713358879089355,47.17692565917969,58.21585464477539,1.0,67.50041198730469,302.9373474121094,186.62454223632812,1.0
110.0,2025-02-03 17:58:01.873255,0.0,7.012786388397217,51.73598861694336,58.44223403930664,1.0,7.021727561950684,47.04932403564453,58.26638412475586,1.0,67.51251220703125,302.299560546875,186.1785430908203,1.0
111.0,2025-02-03 17:58:06.728153,0.0,6.899824142456055,-105.46957397460938,57.597686767578125,1.0,6.916717529296875,-98.04483795166016,58.3165397644043,1.0,57.53144454956055,0.0,-12.79248332977295,0.0
112.0,2025-02-03 17:58:11.700037,0.0,6.787073612213135,-105.27190399169922,57.487186431884766,1.0,6.811495780944824,-98.24250030517578,58.21152877807617,1.0,57.421749114990234,0.0,-12.707907676696777,0.0
113.0,2025-02-03 17:58:16.519243,0.0,6.674522876739502,-105.0850601196289,57.37676239013672,1.0,6.706073760986328,-98.42935180664062,58.10630416870117,1.0,57.312076568603516,0.0,-12.627927780151367,0.0
114.0,2025-02-03 17:58:21.545970,0.0,6.562161922454834,-104.90841674804688,57.26640319824219,1.0,6.600462913513184,-98.60598754882812,58.00088119506836,1.0,57.20243453979492,0.0,-12.552295684814453,0.0
115.0,2025-02-03 17:58:26.668363,0.0,6.449979305267334,-104.74138641357422,57.1561164855957,1.0,6.494672775268555,-98.77301788330078,57.89527130126953,1.0,57.092811584472656,0.0,-12.48074722290039,0.0
116.0,2025-02-03 17:58:32.190597,0.0,6.337966442108154,-104.58341979980469,57.04589080810547,1.0,6.388713836669922,-98.93097686767578,57.78948211669922,1.0,56.983219146728516,0.0,-12.413057327270508,0.0
117.0,2025-02-03 17:58:37.337102,0.0,6.226113319396973,-104.43400573730469,56.935726165771484,1.0,6.282594680786133,-99.08039093017578,57.68352127075195,1.0,56.8736457824707,0.0,-12.34901237487793,0.0
118.0,2025-02-03 17:58:42.761071,0.0,6.114411354064941,-104.29265594482422,56.825618743896484,1.0,6.176323890686035,-99.22173309326172,57.57740020751953,1.0,56.76409912109375,0.0,-12.288403511047363,0.0
119.0,2025-02-03 17:58:48.317139,0.0,6.002852916717529,-104.15892028808594,56.71556854248047,1.0,6.069910049438477,-99.35546875,57.47113037109375,1.0,56.65457534790039,0.0,-12.23104476928711,0.0
120.0,2025-02-03 17:58:53.426111,0.0,5.891429901123047,-104.03237915039062,56.605567932128906,1.0,5.963360786437988,-99.48200988769531,57.364715576171875,1.0,56.545074462890625,0.0,-12.176761627197266,0.0
121.0,2025-02-03 17:58:58.865355,0.0,5.975424289703369,78.42303466796875,57.59663009643555,1.0,6.035406589508057,67.26709747314453,57.258453369140625,1.0,67.39686584472656,308.39495849609375,194.08872985839844,1.0
122.0,2025-02-03 17:59:03.939285,0.0,6.058607578277588,77.665771484375,57.67332077026367,1.0,6.107300281524658,67.12486267089844,57.330501556396484,1.0,67.41393280029297,307.4954528808594,193.4518280029297,1.0
123.0,2025-02-03 17:59:08.924162,0.0,6.140997409820557,76.92495727539062,57.74941635131836,1.0,6.179027557373047,66.96971130371094,57.40239334106445,1.0,67.4309310913086,306.5994873046875,192.8187255859375,1.0
124.0,2025-02-03 17:59:13.774212,0.0,6.2226104736328125,76.19982147216797,57.82492446899414,1.0,6.250575542449951,66.80242919921875,57.47412109375,1.0,67.44786834716797,305.70709228515625,192.1893768310547,1.0
125.0,2025-02-03 17:59:18.986263,0.0,6.303462982177734,75.48966979980469,57.89984893798828,1.0,6.321932315826416,66.62374877929688,57.54566955566406,1.0,67.46472930908203,304.8182678222656,191.56373596191406,1.0
