iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,ScadaCommand_V1,ScadaCommand_V2,T41,T42,P1,J2,J13,V1F,V2F
0.0,2025-01-16 11:56:30.614926,1.0,1,1,0.0,0.0,3.0510001182556152,3.0510001182556152,1.0,0.0,0.0,0.0,0.0
1.0,2025-01-16 11:56:39.273782,1.0,1,1,,,3.2318899631500244,3.0510001182556152,1.0,69.0844497680664,69.64904022216797,241.7170867919922,144.28915405273438
2.0,2025-01-16 11:56:47.730844,1.0,1,1,,,3.4090161323547363,3.1895463466644287,1.0,69.10697937011719,69.66480255126953,240.32513427734375,143.66285705566406
3.0,2025-01-16 11:56:57.381846,1.0,1,1,,,3.5829741954803467,3.329695224761963,1.0,69.12925720214844,69.68061065673828,238.9542694091797,143.02622985839844
4.0,2025-01-16 11:57:06.376200,1.0,1,1,,,3.754121780395508,3.4708619117736816,1.0,69.15131378173828,69.69644165039062,237.60113525390625,142.382080078125
5.0,2025-01-16 11:57:15.522645,1.0,1,1,,,3.9227097034454346,3.6126997470855713,1.0,69.17318725585938,69.71228790283203,236.2635955810547,141.73202514648438
6.0,2025-01-16 11:57:24.275029,1.0,1,1,,,4.088925838470459,3.8974902629852295,1.0,69.19486999511719,69.72813415527344,234.94012451171875,141.07720947265625
7.0,2025-01-16 11:57:32.813909,1.0,1,1,,,4.252920627593994,3.8974902629852295,1.0,69.21639251708984,69.74397277832031,233.62953186035156,140.41844177246094
8.0,2025-01-16 11:57:42.011902,1.0,1,1,,,4.414816379547119,4.1827569007873535,1.0,69.23776245117188,69.75981140136719,232.33090209960938,139.75640869140625
9.0,2025-01-16 11:57:50.852328,1.0,1,1,,,4.574716567993164,4.1827569007873535,1.0,69.25897979736328,69.77562713623047,231.04344177246094,139.0916290283203
10.0,2025-01-16 11:57:59.296596,1.0,1,1,,,4.732709884643555,4.467657566070557,1.0,69.28005981445312,69.79143524169922,229.76651000976562,138.424560546875
11.0,2025-01-16 11:58:07.364785,1.0,1,1,,,4.888873100280762,4.609776020050049,1.0,69.3010025024414,69.80722045898438,228.49957275390625,137.7555694580078
12.0,2025-01-16 11:58:16.116211,1.0,1,1,,,5.043275356292725,4.751591205596924,1.0,69.32181549072266,69.82299041748047,227.24212646484375,137.08499145507812
13.0,2025-01-16 11:58:24.653474,1.0,1,1,,,5.219274044036865,4.751591205596924,1.0,69.39998626708984,69.91028594970703,226.47926330566406,136.79458618164062
14.0,2025-01-16 11:58:33.688674,1.0,1,1,,,5.393004417419434,4.901839256286621,1.0,69.42335510253906,69.92747497558594,225.05189514160156,136.08409118652344
15.0,2025-01-16 11:58:42.846940,1.0,1,1,,,5.564562797546387,5.202185153961182,1.0,69.44657135009766,69.94466400146484,223.63619995117188,135.37049865722656
16.0,2025-01-16 11:58:52.036072,1.0,1,1,,,5.734035015106201,5.352118492126465,1.0,69.46963500976562,69.96183776855469,222.23162841796875,134.65420532226562
17.0,2025-01-16 11:59:01.126779,1.0,1,1,,,5.901496410369873,5.501800060272217,1.0,69.49256134033203,69.97898864746094,220.83761596679688,133.9355926513672
18.0,2025-01-16 11:59:09.984790,1.0,1,1,,,6.067014217376709,5.501800060272217,1.0,69.51535034179688,69.99613189697266,219.45372009277344,133.2149658203125
19.0,2025-01-16 11:59:18.650515,1.0,1,1,,,6.230649471282959,5.65117073059082,1.0,69.53800201416016,70.01325225830078,218.0795135498047,132.49258422851562
20.0,2025-01-16 11:59:26.623875,1.0,1,1,,,6.392457962036133,5.800178527832031,1.0,69.56053161621094,70.03035736083984,216.7146453857422,131.7687225341797
21.0,2025-01-16 11:59:35.109881,1.0,1,1,,,6.552489757537842,5.9487762451171875,1.0,69.58293151855469,70.04743957519531,215.35877990722656,131.04360961914062
22.0,2025-01-16 11:59:43.305647,1.0,1,1,,,6.710792064666748,6.2445759773254395,1.0,69.60521697998047,70.06449127197266,214.01161193847656,130.3174285888672
23.0,2025-01-16 11:59:51.721337,1.0,1,1,,,6.867407321929932,6.2445759773254395,1.0,69.62738037109375,70.0815200805664,212.67288208007812,129.59039306640625
24.0,2025-01-16 12:00:00.012885,1.0,1,1,,,7.02237606048584,6.391704559326172,1.0,69.64942932128906,70.09852600097656,211.34231567382812,128.8626708984375
25.0,2025-01-16 12:00:08.437742,1.0,1,0,,,7.164841651916504,6.538275718688965,1.0,69.64472198486328,70.08246612548828,209.77781677246094,127.94828033447266
26.0,2025-01-16 12:00:17.778969,1.0,1,0,,,7.202722072601318,6.81050968170166,0.0,61.948612213134766,68.53671264648438,111.17401885986328,118.10602569580078
27.0,2025-01-16 12:00:26.513791,1.0,1,0,,,7.242998123168945,6.81050968170166,0.0,61.978904724121094,68.55254364013672,111.0330581665039,117.41292572021484
28.0,2025-01-16 12:00:35.273123,1.0,1,0,,,7.285751819610596,7.0612311363220215,0.0,62.01074981689453,68.56834411621094,110.87667083740234,116.73625946044922
29.0,2025-01-16 12:00:44.143478,1.0,0,0,,,7.285751819610596,7.0612311363220215,0.0,62.0442008972168,68.5841293334961,110.70419311523438,116.07676696777344
30.0,2025-01-16 12:00:52.902942,0.0,0,0,,,7.24411153793335,7.170666694641113,0.0,58.51996612548828,58.46710968017578,-16.390535354614258,-2.64674973487854
